id	title	year	nom	won	directed_by	running_time	screenplay_by	produced_by	starring	music_by	cinematography	editing_by	distributed_by	release_dates	story_by	studio	country	language	budget	box_office	url	key	best_pic	best_actor	best_cinemato	best_director	best_foreign	palme	goldenbear	goldenlion	htmlpath	best_actress	best_supp_actress	best_supp_actor	create_dt	update_dt	canonical	imdbid
	A Midsummer Night's Sex Comedy	1982			Woody Allen	88 min		Robert Greenhut	Woody Allen,Mia Farrow,José Ferrer,Julie Hagerty,Tony Roberts,Mary Steenburgen		Gordon Willis	Susan E. Morse	Warner Bros. Pictures	July 16, 1982 (1982-07-16)			United States	English		$9,077,269	/wiki/A_Midsummer_Night's_Sex_Comedy	amidsummernightssexcomedy									wiki/A_Midsummer_Night's_Sex_Comedy.html					2016-03-08 00:13:06	/wiki/A_Midsummer_Night%27s_Sex_Comedy	tt0084329
	Elippathayam	1982			Adoor Gopalakrishnan	121 minutes		K. Ravindran Nair	Karamana Janardanan Nair,Sharada,Jalaja,Rajan K. Nair	M. B. Sreenivasan	Mankada Ravi Varma	M. Mani		30 April 1982 (1982-04-30)			India	Malayalam			/wiki/Elippathayam	elippathayam									wiki/Elippathayam.html					2016-03-08 18:31:42	/wiki/Elippathayam	tt0082318
	The King of Comedy	1982			Martin Scorsese	109 minutes		Arnon Milchan	Robert De Niro,Jerry Lewis,Tony Randall,Diahnne Abbott,Sandra Bernhard		Fred Schuler	Thelma Schoonmaker	20th Century Fox	December 18, 1982 (1982-12-18) (Iceland),February 18, 1983 (1983-02-18) (United States)		Embassy International	United States	English	$19 million[1]	$2.5 million[2]	/wiki/The_King_of_Comedy_(1983_film)	thekingofcomedy									wiki/The_King_of_Comedy_(1983_film).html					2016-03-08 21:10:30	/wiki/The_King_of_Comedy_(1983_film)	tt0085794
	Fitzcarraldo	1982			Werner Herzog	157 minutes		Werner Herzog,Lucki Stipetić	Klaus Kinski,Claudia Cardinale,José Lewgoy	Popol Vuh	Thomas Mauch	Beate Mainka-Jellinghaus	Filmverlag der Autoren (BRD),Anchor Bay Films	5 March 1982 (1982-03-05) (BRD)			West Germany	German,Spanish,Asháninka,(Shot in English)			/wiki/Fitzcarraldo	fitzcarraldo									wiki/Fitzcarraldo.html					2016-03-08 21:12:06	/wiki/Fitzcarraldo	tt0083946
	The Verdict	1982			Sidney Lumet	129 minutes	David Mamet	David Brown,Richard D. Zanuck	Paul Newman,Charlotte Rampling,Jack Warden,James Mason,Milo O'Shea	Johnny Mandel	Andrzej Bartkowiak	Peter C. Frank	20th Century Fox	December 8, 1982 (1982-12-08)			United States	English	$16 million[1][2]	$53,977,250[3]	/wiki/The_Verdict	theverdict	N	N		N					wiki/The_Verdict.html			N		2016-03-09 00:48:00	/wiki/The_Verdict	tt0084855
	My Favorite Year	1982			Richard Benjamin	92 minutes		Michael Gruskoff,Art Levinson,Mel Brooks (Uncredited),Joel Chernoff (Uncredited)	Peter O'Toole,Jessica Harper,Joseph Bologna,Mark Linn-Baker	Ralph Burns	Gerald Hirschfeld	Richard Chew	MGM/UA Entertainment	October 1, 1982 (1982-10-01)		Brooksfilms Ltd.	United States	English		$20,123,620	/wiki/My_Favorite_Year	myfavoriteyear		N							wiki/My_Favorite_Year.html					2016-03-09 11:28:29	/wiki/My_Favorite_Year	tt0084370
	Alsino and the Condor	1982			Miguel Littín	89 minutes		Ramiro Lacayo,Hernan Littin	Dean Stockwell,Alan Esquivel,Alejandro Parodi	Leo Brouwer	Jorge Herrera,Pablo Martinez			1 May 1982 (1982-05-01) (New York City)			Nicaragua,Mexico	Spanish			/wiki/Alsino_and_the_Condor	alsinoandthecondor					N				wiki/Alsino_and_the_Condor.html					2016-03-09 12:41:11	/wiki/Alsino_and_the_Condor	tt0083543
	Flight of the Eagle	1982			Jan Troell	140 minutes		Jörn Donner,Göran Setterberg	Max von Sydow,Sverre Anker Ousdal,Göran Stangertz.	Carl-Axel Dominique,Hans-Erik Philip	Jan Troell	Jan Troell		26 August 1982 (1982-08-26) (Sweden)			Sweden,West Germany,Norway	Swedish,French	20 million SEK		/wiki/Flight_of_the_Eagle	flightoftheeagle					N				wiki/Flight_of_the_Eagle.html					2016-03-09 12:41:19	/wiki/Flight_of_the_Eagle	tt0084136
	Private Life	1982			Yuli Raizman	102 minutes			Mikhail Ulyanov	Vyacheslav Ganelin	Emil Gulidov,Valentin Piganov	Valeriya Belova		1982 (1982)		Mosfilm	Soviet Union	Russian			/wiki/Private_Life_(film)	privatelife					N				wiki/Private_Life_(film).html					2016-03-09 12:41:23	/wiki/Private_Life_(film)	tt0083732
	Yol	1982			Yılmaz Güney,Şerif Gören	124 minutes		Edi Hubschmid,Yılmaz Güney	Anita P. Ness,Halil Ergün,Şerif Sezer,Meral Orhonsay	Sebastian Argol,Zülfü Livaneli				May 1982 (1982-05) (Cannes)			Turkey	Turkish,Kurdish			/wiki/Yol	yol						W			wiki/Yol.html					2016-03-09 13:09:40	/wiki/Yol	tt0084934
	Veronika Voss	1982			Rainer Werner Fassbinder	104 minutes		Thomas Schühly	Rosel Zech,Hilmar Thate,Cornelia Froboess	Peer Raben	Xaver Schwarzenberger			18 February 1982			West Germany	German			/wiki/Veronika_Voss	veronikavoss							W		wiki/Veronika_Voss.html					2016-03-09 13:14:48	/wiki/Veronika_Voss	tt0084654
	La colmena	1982			Mario Camus	112 minutes		José Luis Dibildos	Victoria Abril,Ana Belén,Francisco Algora,Charo López,Camilo José Cela,Luis Escobar,Emilio Gutiérrez Caba	Antón García Abril			Suevia Films	11 October 1982			Spain	Spanish			/wiki/La_colmena_(film)	lacolmena							W		wiki/La_colmena_(film).html					2016-03-09 13:14:58	/wiki/La_colmena_(film)	tt0083743
	The State of Things	1982			Wim Wenders	124 minutes		Chris Sievernich	Patrick Bauchau,Allen Garfield	Jürgen Knieper	Henri Alekan,Fred Murphy,Martin Schaer	Peter Przygodda,Barbara Von Weitershausen	Gray City (USA),Axiom Films (UK and Ireland)	September, 1982 (premiere at VFF),18 February 1983 (U.S.)			West Germany,Portugal,United States	English			/wiki/The_State_of_Things_(film)	thestateofthings								W	wiki/The_State_of_Things_(film).html					2016-03-09 13:18:47	/wiki/The_State_of_Things_(film)	tt0084725
	Frances	1982			Graeme Clifford	140 minutes		Jonathan Sanger,Uncredited:,Mel Brooks	Jessica Lange,Kim Stanley,Sam Shepard	John Barry	László Kovács		Universal Pictures	December 3, 1982 (1982-12-03)			United States	English		$5,000,000	/wiki/Frances_(film)	frances									wiki/Frances_(film).html	N	N				/wiki/Frances_(film)	tt0083967
	The Best Little Whorehouse in Texas	1982			Colin Higgins	114 minutes[1]		Robert L. Boyett,Colin Higgins	Burt Reynolds,Dolly Parton,Dom DeLuise,Charles Durning,Jim Nabors	Carol Hall,Patrick Williams	William A. Fraker		Universal Pictures	July 23, 1982 (1982-07-23)			United States	English	$20.5 million	$69.7 million[2]	/wiki/The_Best_Little_Whorehouse_in_Texas_(film)	thebestlittlewhorehouseintexas									wiki/The_Best_Little_Whorehouse_in_Texas_(film).html			N			/wiki/The_Best_Little_Whorehouse_in_Texas_(film)	tt0083642
	The World According to Garp	1982			George Roy Hill	136 minutes	Steve Tesich	George Roy Hill	Robin Williams,Mary Beth Hurt,Glenn Close,John Lithgow		Miroslav Ondricek		Warner Bros.	July 23, 1982 (1982-07-23)			United States	English	$17 million	$29,712,172	/wiki/The_World_According_to_Garp_(film)	theworldaccordingtogarp									wiki/The_World_According_to_Garp_(film).html		N	N			/wiki/The_World_According_to_Garp_(film)	tt0084917
	Boys and Girls	1983	1	1	Don McBrearty	22 minutes		Seaton McLean,Janice L. Platt	Ian Heath		Alar Kivilo	Seaton McLean		1983 (1983)			Canada	English			/wiki/Boys_and_Girls_(1983_film)	boysandgirls									wiki/Boys_and_Girls_(1983_film).html					2016-03-08 12:24:33	/wiki/Boys_and_Girls_(1983_film)	tt0083688
	Flamenco at 5:15	1983	1	1	Cynthia Scott	29 minutes		Cynthia Scott,Kathleen Shannon,Adam Symansky	Susana Robledo,Antonio Robledo		Paul Cowan	Paul Demers,Cynthia Scott	National Film Board of Canada	1983 (1983)			Canada	English	$142,457[1]		/wiki/Flamenco_at_5:15	flamencoat515									wiki/Flamenco_at_5:15.html					2016-03-08 13:14:48	/wiki/Flamenco_at_5:15	tt0085548
	Flashdance	1983	4	1	Adrian Lyne	98 minutes[1]	Tom Hedley,Joe Eszterhas	Don Simpson,Jerry Bruckheimer,Tom Jacobson,Lynda Rosen Obst,Peter Guber,Jon Peters	Jennifer Beals,Michael Nouri	Giorgio Moroder	Donald Peterman	Walt Mulconery,Bud Smith	Paramount Pictures	April 15, 1983 (1983-04-15)	Tom Hedley	PolyGram Filmed Entertainment,Simpson/Bruckheimer	United States	English	$7 million	$201.5 million[2]	/wiki/Flashdance	flashdance			N						wiki/Flashdance.html					2016-03-08 13:15:02	/wiki/Flashdance	tt0085549
	He Makes Me Feel Like Dancin'	1983	1	1	Emile Ardolino	60 min.			Jacques d'Amboise					November 1983			USA	English			/wiki/He_Makes_Me_Feel_Like_Dancin'	hemakesmefeellikedancin									wiki/He_Makes_Me_Feel_Like_Dancin'.html					2016-03-08 00:19:50	/wiki/He_Makes_Me_Feel_Like_Dancin%27	tt0085655
	Return of the Jedi	1983	4	0	Richard Marquand	131 minutes[3]	Lawrence Kasdan,George Lucas	Howard Kazanjian	Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels,David Prowse,Kenny Baker,Peter Mayhew,Frank Oz	John Williams	Alan Hume	Sean Barton,Duwayne Dunham,Marcia Lucas	20th Century Fox[Note 1]	May 25, 1983 (1983-05-25)	George Lucas	Lucasfilm	United States	English	$32.5–42.7 million[4][5]	$475.1 million[6][7]	/wiki/Return_of_the_Jedi	returnofthejedi									wiki/Return_of_the_Jedi.html					2016-03-08 16:44:30	/wiki/Return_of_the_Jedi	tt0086190
	The Right Stuff	1983	8	4	Philip Kaufman	192 minutes[1]	Philip Kaufman	Irwin Winkler,Robert Chartoff	Charles Frank,Scott Glenn,Ed Harris,Lance Henriksen,Scott Paulin,Dennis Quaid,Sam Shepard,Fred Ward,Kim Stanley,Barbara Hershey,Veronica Cartwright,Pamela Reed	Bill Conti	Caleb Deschanel	Glenn Farr,Lisa Fruchtman,Stephen A. Rotter,Douglas Stewart,Tom Rolf	Warner Bros.	October 21, 1983 (1983-10-21) (Limited),February 17, 1984 (1984-02-17) (Wide)		The Ladd Company	United States	English,Russian	$27 million	$21.1 million[2]	/wiki/The_Right_Stuff_(film)	therightstuff	N		N						wiki/The_Right_Stuff_(film).html			N		2016-03-08 16:44:40	/wiki/The_Right_Stuff_(film)	tt0086197
974	Sundae in New York	1983	1	1	Jimmy Picker				Scott Record												/w/index.php?title=Sundae_in_New_York&action=edit&redlink=1	windexphptitlesundaeinnewyorkactioneditredlink1																tt0086388
	Tender Mercies	1983	5	2	Bruce Beresford	92 minutes		Philip S. Hobel	Robert Duvall,Tess Harper,Betty Buckley,Wilford Brimley,Ellen Barkin	George Dreyfus	Russell Boyd	William Anderson	Universal Pictures	March 4, 1983 (1983-03-04),(limited)		EMI Films,Antron Media Production	United States	English	$4.5 million	$8.44 million	/wiki/Tender_Mercies	tendermercies	N	W		N					wiki/Tender_Mercies.html					2016-03-08 16:59:34	/wiki/Tender_Mercies	tt0086423
	Terms of Endearment	1983	11	5	James L. Brooks	132 minutes[1]	James L. Brooks	James L. Brooks	Shirley MacLaine,Debra Winger,Jack Nicholson,Danny DeVito,John Lithgow	Michael Gore	Andrzej Bartkowiak	Richard Marks	Paramount Pictures	November 23, 1983 (1983-11-23) (US: limited),December 9, 1983 (1983-12-09) (US: wide)			United States	English	$8 million	$108.4 million[2]	/wiki/Terms_of_Endearment	termsofendearment	W			W					wiki/Terms_of_Endearment.html					2016-03-08 16:59:51	/wiki/Terms_of_Endearment	tt0086425
	Yentl	1983	5	1	Barbra Streisand	131 minutes,136 minutes (Extended cut)	Barbra Streisand,Jack Rosenthal	Barbra Streisand,Larry DeWaay,Rusty Lemorande	Barbra Streisand,Mandy Patinkin,Amy Irving	Michel Legrand (Music),Alan Bergman,Marilyn Bergman (Lyrics)	David Watkin	Terry Rawlings	MGM/UA Entertainment Company	November 18, 1983 (Limited),January 6, 1984	Isaac Bashevis Singer	Barwood Films,Ladbroke Entertainment,United Artists	United States	English	$12 million	$40,218,899[1]	/wiki/Yentl_(film)	yentl									wiki/Yentl_(film).html		N			2016-03-08 17:15:17	/wiki/Yentl_(film)	tt0086619
	The Outsiders	1983			Francis Ford Coppola	90 minutes (original theatrical version),114 minutes (2005 complete novel version)	Kathleen Rowell	Gray Frederickson,Fred Roos	C. Thomas Howell,Matt Dillon,Ralph Macchio,Patrick Swayze,Rob Lowe,Diane Lane,Emilio Estevez,Tom Cruise,Leif Garrett	Carmine Coppola	Stephen H. Burum	Anne Goursaud	Warner Bros. Pictures	March 25, 1983 (1983-03-25)		Zoetrope Studios	United States	English	$10 million	$33.7 million	/wiki/The_Outsiders_(film)	theoutsiders									wiki/The_Outsiders_(film).html					2016-03-08 18:56:22	/wiki/The_Outsiders_(film)	tt0086066
	Rumble Fish	1983			Francis Ford Coppola	94 minutes	S. E. Hinton,Francis Ford Coppola	Francis Ford Coppola,Doug Claybourne,Fred Roos	Matt Dillon,Mickey Rourke,Vincent Spano,Diane Lane,Diana Scarwid,Nicolas Cage,Dennis Hopper	Stewart Copeland	Stephen H. Burum	Barry Malkin	Universal Pictures	October 8, 1983 (1983-10-08)		American Zoetrope	United States	English	$10 million	$2,494,480[1]	/wiki/Rumble_Fish	rumblefish									wiki/Rumble_Fish.html					2016-03-08 18:45:36	/wiki/Rumble_Fish	tt0086216
	Local Hero	1983			Bill Forsyth	111 minutes		David Puttnam,Iain Smith	Peter Riegert,Denis Lawson,Fulton Mackay,Burt Lancaster	Mark Knopfler	Chris Menges	Michael Bradsell	20th Century Fox (UK),Warner Bros.	17 February 1983 (1983-02-17) (US)		Goldcrest Films	United Kingdom	English	£3 million[1]	$5.9 million (US)[2]	/wiki/Local_Hero	localhero									wiki/Local_Hero.html					2016-03-08 18:38:40	/wiki/Local_Hero	tt0085859
	Educating Rita	1983			Lewis Gilbert	110 minutes	Willy Russell	Lewis Gilbert	Michael Caine,Julie Walters	David Hentschel	Frank Watts	Garth Craven	Columbia Pictures	14 September 1983 (1983-09-14) (Toronto)		Acorn Pictures	United Kingdom	English	₤4 million[1]	$14.6 million (USA)[2][3]	/wiki/Educating_Rita_(film)	educatingrita		N							wiki/Educating_Rita_(film).html	N				2016-03-08 18:31:37	/wiki/Educating_Rita_(film)	tt0085478
	Zelig	1983			Woody Allen	79 minutes		Robert Greenhut	Woody Allen,Mia Farrow	Dick Hyman	Gordon Willis	Susan E. Morse	Warner Bros.	July 15, 1983 (1983-07-15)			United States	English		$11,798,616 (US)	/wiki/Zelig	zelig			N						wiki/Zelig.html					2016-03-08 19:02:14	/wiki/Zelig	tt0086637
	Sans Soleil	1983			Chris Marker	100 minutes			Florence Delay, Arielle Dombasle, Riyoko Ikeda, Charlotte Kerr	Chris Marker (as Michel Krasna)	Chris Marker (as Sandor Krasna)	Chris Marker	Argos Films	1983 (1983)			France	French			/wiki/Sans_Soleil	sanssoleil									wiki/Sans_Soleil.html					2016-03-08 21:21:24	/wiki/Sans_Soleil	tt0084628
	Nostalghia	1983			Andrei Tarkovsky	125 minutes			Oleg Yankovsky,Erland Josephson,Domiziana Giordano		Giuseppe Lanci			May 1983 (1983-05) ((France))			Soviet Union,Italy	Russian,Italian			/wiki/Nostalghia	nostalghia									wiki/Nostalghia.html					2016-03-08 21:30:33	/wiki/Nostalghia	tt0086022
	The Big Chill	1983			Lawrence Kasdan	105 minutes		Michael Shamberg	Tom Berenger,Glenn Close,Jeff Goldblum,William Hurt,Kevin Kline,Mary Kay Place,Meg Tilly,JoBeth Williams	Meg Kasdan	John Bailey	Carol Littleton	Columbia Pictures	September 28, 1983 (1983-09-28)		Carson Productions	United States	English		$56,399,659	/wiki/The_Big_Chill_(film)	thebigchill	N								wiki/The_Big_Chill_(film).html		N			2016-03-09 00:41:57	/wiki/The_Big_Chill_(film)	tt0085244
	The Dresser	1983			Peter Yates	118 minutes		Peter Yates	Albert Finney,Tom Courtenay,Edward Fox,Zena Walker,Eileen Atkins,Michael Gough,Cathryn Harrison	James Horner	Kelvin Pike	Ray Lovejoy	Columbia Pictures	9 December 1983 (1983-12-09)			United Kingdom	English		$5,310,748	/wiki/The_Dresser	thedresser	N	N		N					wiki/The_Dresser.html					2016-03-09 00:48:04	/wiki/The_Dresser	tt0085461
	Reuben, Reuben	1983			Robert Ellis Miller	101 min.		Julius J. Epstein,Walter Shenson	Tom Conti,Kelly McGillis	Billy Goldenberg			20th Century Fox	December 19, 1983 (1983-12-19) (U.S.)		Saltair Productions,TAFT Entertainment Pictures	United States	English			/wiki/Reuben,_Reuben	reubenreuben		N							wiki/Reuben,_Reuben.html					2016-03-09 11:28:35	/wiki/Reuben,_Reuben	tt0084591
	Silkwood	1983			Mike Nichols	131 minutes		Michael Hausman,Mike Nichols	Meryl Streep,Kurt Russell,Cher	Georges Delerue	Miroslav Ondříček	Sam O'Steen	20th Century Fox	December 14, 1983 (1983-12-14)		ABC Motion Pictures	United States	English	$10 million	$35,615,609[1]	/wiki/Silkwood	silkwood				N					wiki/Silkwood.html	N	N			2016-03-09 11:34:42	/wiki/Silkwood	tt0086312
	WarGames	1983			John Badham	114 minutes		Leonard Goldberg,Rich Hashimoto,Harold Schneider,Bruce McNall	Matthew Broderick,Dabney Coleman,John Wood,Ally Sheedy	Arthur B. Rubinstein	William A. Fraker	Tom Rolf	MGM/UA Entertainment Company,Chapel Distribution,United International Pictures	May 7, 1983 (1983-05-07) (Cannes),June 3, 1983 (1983-06-03) (US)		United Artists	United States & Australia	English	$12 million	$79.6 million	/wiki/WarGames	wargames			N						wiki/WarGames.html					2016-03-09 12:27:19	/wiki/WarGames	tt0086567
	Carmen	1983			Carlos Saura	102 minutes			Laura del Sol					6 May 1983 (1983-05-06)			Spain	Spanish			/wiki/Carmen_(1983_film)	carmen					N				wiki/Carmen_(1983_film).html					2016-03-09 12:41:33	/wiki/Carmen_(1983_film)	tt0085297
	Entre Nous	1983			Diane Kurys	110 minutes		Ariel Zeitoun	Miou-Miou,Isabelle Huppert,Guy Marchand	Luis Enríquez Bacalov	Bernard Lutic	Joële Van Effenterre	Gaumont	6 April 1983 (1983-04-06)			France	French			/wiki/Entre_Nous_(film)	entrenous					N				wiki/Entre_Nous_(film).html					2016-03-09 12:41:40	/wiki/Entre_Nous_(film)	tt0085370
2712	The Revolt of Job	1983	1		Imre Gyongyossy				Zenthe Ferenc,Temessy Hedi												/wiki/The_Revolt_of_Job	jobsrevolt					N										/wiki/The_Revolt_of_Job	tt0085767
	Le Bal	1983			Ettore Scola	110 minutes		Franco Committeri	Étienne Guichard	Vladimir Cosma	Ricardo Aronovich	Raimondo Crociani		21 December 1983 (1983-12-21)			Italy,France,Algeria	No dialogue			/wiki/Le_Bal_(1983_film)	lebal					N				wiki/Le_Bal_(1983_film).html					2016-03-09 13:02:50	/wiki/Le_Bal_(1983_film)	tt0085213
	Wartime Romance	1983			Pyotr Todorovsky	92 minutes			Nikolay Burlyaev,Natalya Andreychenko	Pyotr Todorovsky,Igor Kantyukov	Valery Blinov			1983 (1983)		Odessa Film Studio	Soviet Union	Russian			/wiki/Wartime_Romance	wartimeromance					N				wiki/Wartime_Romance.html					2016-03-09 12:42:14	/wiki/Wartime_Romance	tt0086561
	The Ballad of Narayama	1983			Shōhei Imamura	130 min.		Goro Kusakabe,Jiro Tomoda	Ken Ogata,Sumiko Sakamoto,Takejo Aki,Tonpei Hidari,Seiji Kurasaki,Kaoru Shimamori,Ryutaro Tatsumi,Junko Takada,Nijiko Kiyokawa,Mitsuko Baisho	Shinichirô Ikebe	Masao Tochizawa	Hajime Okayasu	Toei Co. Ltd.,Umbrella Entertainment	April 29, 1983 (Japan),September 7, 1984 (U.S. limited)			Japan	Japanese			/wiki/The_Ballad_of_Narayama_(1983_film)	theballadofnarayama						W			wiki/The_Ballad_of_Narayama_(1983_film).html					2016-03-09 13:09:47	/wiki/The_Ballad_of_Narayama_(1983_film)	tt0084390
	Ascendancy	1983			Edward Bennett	92 minutes		Penny Clark	Julie Covington,Ian Charleson	Ronnie Leahy	Clive Tickner		Production company:,British Film Institute	1983			United Kingdom	English			/wiki/Ascendancy_(film)	ascendancy							W		wiki/Ascendancy_(film).html					2016-03-09 13:14:52	/wiki/Ascendancy_(film)	tt0083582
	First Name: Carmen	1983			Jean-Luc Godard	85 min.		Alain Sarde	Maruschka Detmers,,Jacques Bonnaffé				Parafrance Films	September 1983 (premiere at VFF),11 January 1984 (France),3 August 1984 (New York City)				French			/wiki/First_Name:_Carmen	firstnamecarmen								W	wiki/First_Name:_Carmen.html					2016-03-09 13:18:51	/wiki/First_Name:_Carmen	tt0086153
	A Season in Hakkari	1983			Erden Kıral	110 minutes			Genco Erkal		Kenan Ormanlar	Yilmaz Atadeniz		February 1983			Turkey	Turkish			/wiki/A_Season_in_Hakkari	aseasoninhakkari									wiki/A_Season_in_Hakkari.html					2016-03-09 13:23:17	/wiki/A_Season_in_Hakkari	tt0084045
	Funny Dirty Little War	1983			Héctor Olivera	80 minutes	Héctor Olivera,Roberto Cossa	Fernando Ayala,Luis O. Repetto	Federico Luppi,Miguel Ángel Solá,Ulises Dumont,Lautaro Murúa,Héctor Bidonde,Víctor Laplace,Rodolfo Ranni,Arturo Maly	Óscar Cardozo Ocampo	Leonardo Rodríguez Solís	Eduardo López	Cinevista,Production Company:,Aries Cinematográfica	September 22, 1983 (1983-09-22) (Argentina),September 9, 1984 (1984-09-09) (Canada),March 30, 1985 (1985-03-30) (United States)	Osvaldo Soriano		Argentina	Spanish			/wiki/Funny_Dirty_Little_War	funnydirtylittlewar									wiki/Funny_Dirty_Little_War.html					2016-03-09 13:23:21	/wiki/Funny_Dirty_Little_War	tt0086017
3223	The Dead Zone	1983			David Cronenberg	103 minutes	Jeffrey Boam	Debra Hill,Uncredited:,Dino De Laurentiis	Christopher Walken,Brooke Adams,Tom Skerritt,Herbert Lom,Anthony Zerbe,Colleen Dewhurst,Martin Sheen	Michael Kamen	Mark Irwin		Paramount Pictures,(USA & Canada),De Laurentiis Entertainment Group,(International)	October 21, 1983 (1983-10-21)			United States	English	$10 million (estimated)	$20.7 million (domestic)	/wiki/The_Dead_Zone_(film)	thedeadzone															/wiki/The_Dead_Zone_(film)	tt0085407
3253	Videodrome	1983			David Cronenberg	87 minutes		Claude Héroux	James Woods,Sonja Smits,Deborah Harry,Peter Dvorsky,Les Carlson,Jack Creley,Lynne Gorman	Howard Shore	Mark Irwin		Universal Pictures	February 4, 1983 (1983-02-04)			Canada	English	$5.952 million	$2,120,439	/wiki/Videodrome	videodrome															/wiki/Videodrome	tt0086541
3323	Monty Python's The Meaning of Life	1983			Terry Jones	90 minutes[1] (Original cut),107 minutes		John Goldstone	Graham Chapman,John Cleese,Terry Gilliam,Eric Idle,Terry Jones,Michael Palin	John Du Prez	Peter Hannan,Roger Pratt		Universal Pictures	22 April 1983 (1983-04-22)			United Kingdom	English	$9 million[2]	$14.9 million[3]	/wiki/Monty_Python's_The_Meaning_of_Life	montypythonsthemeaningoflife															/wiki/Monty_Python%27s_The_Meaning_of_Life	tt0085959
	Testament	1983			Lynne Littman	90 minutes		Jonathan Bernstein	Jane Alexander,William Devane	James Horner	Steven Poster		Paramount Pictures	November 4, 1983			United States	English			/wiki/Testament_(film)	testament									wiki/Testament_(film).html	N					/wiki/Testament_(film)	tt0086429
	Cross Creek	1983			Martin Ritt	127 minutes		Robert B. Radnitz,Martin Ritt,Terence Nelson	Mary Steenburgen,Rip Torn,Peter Coyote,Alfre Woodard,Dana Hill	Leonard Rosenman	John A. Alonzo		Associated Film Distribution,Universal Pictures (USA)	May 1983 (1983-05) (Cannes),September 21, 1983 (1983-09-21) (United States)			United States	English			/wiki/Cross_Creek_(film)	crosscreek									wiki/Cross_Creek_(film).html		N	N			/wiki/Cross_Creek_(film)	tt0085380
	Brainstorm	1983			Douglas Trumbull	106 minutes	Philip Frank Messina,Robert Stitzel	Douglas Trumbull	Christopher Walken,Natalie Wood,Louise Fletcher,Cliff Robertson	James Horner	Richard Yuricich	Dennis Freeman,Edward Warschilka	MGM/UA Entertainment Co.	September 30, 1983	Bruce Joel Rubin			English	$18 million	$10,219,460	/wiki/Brainstorm_(1983_film)	brainstorm									wiki/Brainstorm_(1983_film).html				2016-03-07 14:53:29	2016-03-07 14:53:30	/wiki/Brainstorm_(1983_film)	tt0085271
	L'Argent	1983			Robert Bresson	83 minutes		Jean-Marc Henchoz,Daniel Toscan du Plantier	Christian Patey,Béatrice Tabourin,Didier Baussy,Vincent Visterucci		Pasqualino De Santis,Emmanuel Machuel	Jean-François Naudon	MK2 Diffusion	18 May 1983 (1983-05-18) (France)			France,Switzerland	French			/wiki/L'Argent_(1983_film)	largent									wiki/L'Argent_(1983_film).html				2016-03-07 18:36:02	2016-03-07 18:36:14	/wiki/L%27Argent_(1983_film)	tt0085180
	Amadeus	1984	11	8	Miloš Forman	161 minutes[1]	Peter Shaffer	Saul Zaentz	F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Simon Callow,Roy Dotrice,Christine Ebersole,Jeffrey Jones,Charles Kay	Wolfgang Amadeus Mozart,Antonio Salieri	Miroslav Ondříček	Nena Danevic,Michael Chandler	Orion Pictures	September 6, 1984 (1984-09-06) (Los Angeles),September 19, 1984 (1984-09-19) (United States)		The Saul Zaentz Company	United States	English	$18 million[2]	$56 million (North America)[2]	/wiki/Amadeus_(film)	amadeus	W	W	N	W					wiki/Amadeus_(film).html					2016-03-08 11:33:48	/wiki/Amadeus_(film)	tt0086879
	Anna & Bella	1984	1	1	Børge Ring	8 minutes		Cilia van Dijk	Tonny Huurdeman,Annemieke Ring,Peter Ring			Hans Perk		November 10, 1984 (1984-11-10)			Netherlands	Dutch			/wiki/Anna_&_Bella	annabella									wiki/Anna_&_Bella.html					2016-03-08 00:15:20	/wiki/Anna_%26_Bella	tt0088725
	Charade	1984	1	1	John Minnis	5 minutes		John Minnis (producer)	See below				Michael Mills Productions	1984		Sheridan College	Canada	English			/wiki/Charade_(1984_film)	charade									wiki/Charade_(1984_film).html					2016-03-08 12:28:59	/wiki/Charade_(1984_film)	tt0087040
	Dangerous Moves	1984	1	1	Richard Dembo	110 minutes		Arthur Cohn,Martine Marignac	Michel Piccoli,Alexandre Arbatt,Liv Ullmann	Gabriel Yared	Raoul Coutard	Agnès Guillemot	Gaumont	25 April 1984 (1984-04-25)			France,Switzerland	French			/wiki/Dangerous_Moves	dangerousmoves					W				wiki/Dangerous_Moves.html					2016-03-08 12:47:04	/wiki/Dangerous_Moves	tt0087144
	Indiana Jones and the Temple of Doom	1984	2	1	Steven Spielberg	118 minutes	Willard Huyck,Gloria Katz	Robert Watts	Harrison Ford,Kate Capshaw,Amrish Puri,Roshan Seth,Philip Stone,Ke Huy Quan	John Williams	Douglas Slocombe	Michael Kahn	Paramount Pictures	May 23, 1984 (1984-05-23)	George Lucas	Lucasfilm	United States	English	$28.2 million[1]	$333.1 million	/wiki/Indiana_Jones_and_the_Temple_of_Doom	indianajonesandthetempleofdoom									wiki/Indiana_Jones_and_the_Temple_of_Doom.html					2016-03-08 13:31:34	/wiki/Indiana_Jones_and_the_Temple_of_Doom	tt0087469
